age,daily_rate,distance_from_home,hourly_rate,monthly_income,monthly_rate,num_companies_worked,percent_salary_hike,years_in_current_role,years_since_last_promotion,attrition,business_travel,department,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,over_time,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance
0.5476190476190477,0.7163323782234956,0.0,0.9142857142857141,0.2632301679518327,0.6980162235964983,0.8888888888888888,0.0,0.26666666666666666,0.0,Yes,Travel_Rarely,Sales,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,Yes,1,0,0,1
0.7380952380952381,0.1267908309455587,0.25,0.44285714285714284,0.2176507869441217,0.9159906834792386,0.1111111111111111,0.8571428571428571,0.4666666666666667,0.09090909090909091,No,Travel_Frequently,Research & Development,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,No,4,1,3,3
0.4523809523809524,0.9104584527220629,0.035714285714285754,0.8857142857142857,0.0570930601035175,0.012007067705405161,0.6666666666666667,0.2857142857142857,0.0,0.0,Yes,Travel_Rarely,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,3,Single,Yes,2,0,3,3
0.35714285714285715,0.9240687679083095,0.07142857142857145,0.3714285714285714,0.10034857927537763,0.8457955184322544,0.1111111111111111,0.0,0.4666666666666667,0.2727272727272727,No,Travel_Frequently,Research & Development,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,Yes,3,0,3,3
0.21428571428571427,0.35028653295128936,0.035714285714285754,0.14285714285714285,0.12987218759902822,0.583688057184162,1.0,0.07142857142857145,0.13333333333333336,0.1818181818181818,No,Travel_Rarely,Research & Development,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,No,4,1,3,3
0.33333333333333337,0.6468481375358166,0.035714285714285754,0.7,0.10874617090947503,0.39221749257087785,0.0,0.14285714285714288,0.4666666666666667,0.2727272727272727,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,No,3,0,2,2
0.9761904761904763,0.8753581661891117,0.07142857142857145,0.7285714285714285,0.08772578430336961,0.3159184001285037,0.4444444444444444,0.6428571428571428,0.0,0.0,No,Travel_Rarely,Research & Development,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,Yes,1,3,3,2
0.2857142857142857,0.8997134670487106,0.8214285714285714,0.5285714285714286,0.08894053026301893,0.45128905308810535,0.1111111111111111,0.7857142857142857,0.0,0.0,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,No,2,1,2,3
0.4761904761904762,0.08166189111747846,0.7857142857142856,0.2,0.44982571036231117,0.2686531202313067,0.0,0.7142857142857143,0.4666666666666667,0.09090909090909091,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,No,2,0,2,3
0.4285714285714286,0.8574498567335243,0.9285714285714284,0.9142857142857141,0.22330199640857717,0.5814793992450406,0.6666666666666667,0.14285714285714288,0.4666666666666667,0.6363636363636364,No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,No,2,2,3,2
0.40476190476190477,0.5064469914040114,0.5357142857142857,0.7714285714285714,0.07483891412274218,0.5775439723716971,0.0,0.14285714285714288,0.26666666666666666,0.0,No,Travel_Rarely,Research & Development,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,No,3,1,5,3
0.26190476190476186,0.03653295128939826,0.5,0.2714285714285714,0.16816309284884337,0.42506625973817364,0.0,0.07142857142857145,0.33333333333333337,0.0,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,Yes,4,0,3,3
0.30952380952380953,0.4068767908309455,0.8928571428571428,0.014285714285714346,0.10045420935882543,0.5249779134206087,0.1111111111111111,0.4285714285714286,0.13333333333333336,0.36363636363636365,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,No,4,1,1,2
0.380952380952381,0.8911174785100286,0.6428571428571428,0.8999999999999999,0.08725044892785466,0.2674885551361336,0.0,0.0,0.13333333333333336,0.09090909090909091,No,Travel_Rarely,Research & Development,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,No,3,1,2,3
